RT @Girondins4ever: Les Girondins a l'honneur dans L'\u00c9quipe Magazine -  #Girondins 
Le jeu du jour : celui ou celle qui trouve ce polo en magasin ou en ligne aura le droit de l'acheter ! \ud83d\udc4d\ud83d\udd35\ud83d\udd34 #PSG 
RT @ActuFoot_: OFFICIEL ! Le GFC Ajaccio est promu en Ligue 1 ! 
RT @messi_barcelone: Les prix des billets pour la finale de la Ligue des Champions -  
@ParisNoLimit \nMerci ParisNoLimit! Toujours la pour le #PSG!
RT @LamineSane06: #DeLescureJeGarde tellement de grands moments... Dont le but de Marouane Chamakh face a la @juventusfc! #Girondins 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @footnational: L'une des photos de la soiree en Ligue 2 avec @LudoButelle le gardien d'Angers\n 
Pastore - \"J'essaye de progresser jour apre jour\"  #PSG 
RT @fbleubnormandie: Le @SMCaen_officiel en quete du maintien a Bastia les intws en ligne #FBSport #SCBSMC  
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
Armand heureux pour Paris  #PSG 
RT @CanalSupporters: #PSG &gt;&gt; Une nacelle pour deux VIP lors de la finale de la Coupe de France 
Sabado de f\u00fatbol, Sabado de Ligue 1:\n\n\u26bd\ud83c\udfc6 Montpellier va PSG, a las 2:30 pm (Vzla) por ESPN 
RT @jujufran19: 15 ans...de la retrogradation admin.  en CFA a l'accession en Ligue 1...merci a toi GFCA! SIMU SEMPRE QUI\u2764\ufe0f\ud83d\udc99#GFCA 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
A #Cagliari sono certi: #Nainggolan al #PSG per 40 milioni #ASRoma #romanewseu #calciomercato 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @YKharouby: Je crois qu'il serait temps de le dire \n#Gourcuffrevient @girondins @girondins33 @girondins_news
#Tv Gad Elmaleh, Hawaii 5-0, Multiplex Ligue 1... @melty_fr zappe dans votre programme TV\n 
RT @WinamaxSport: Frederic Thiriez vient d'envoyer un cahier de vacances aux membres de la Ligue. 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @PSGindonesia: Blanc mengatakan laga melawan Montpellier pada Minggu dini hari WIB, sangat menentukan untuk gelar juara Ligue 1.\n
Pour les trophees UNFP pour le meilleur joueur de ligue 1 vous dites qui vous ? #PSG #TeamPSG \ud83d\udd34\ud83d\udd35
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
Hey les copains! \u00c9dition speciale 37e journee de #Ligue1 a 15h30 avec @JCDrouet @JulienMomont @regisdupont &amp; @SimoneRovera! \u00c0 tout de suite!
16\/5 \u0393\u03b1\u03bb\u03bb\u03af\u03b1, Ligue 1: \u039c\u03ac\u03c7\u03b5\u03c2 \u03bc\u03b5 \u03c6\u03cc\u03bd\u03c4\u03bf \u03ad\u03bd\u03b1 \u03b5\u03c5\u03c1\u03c9\u03c0\u03b1\u03ca\u03ba\u03cc \u03b5\u03b9\u03c3\u03b9\u03c4\u03ae\u03c1\u03b9\u03bf 
RT @footnational: L'une des photos de la soiree en Ligue 2 avec @LudoButelle le gardien d'Angers\n 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @abdelinho92: \"Je veux gagner la ligue des champions\" (26 octobre 2014 Canal football club) 
RT @LequipeTypeE21: Hey les copains! \u00c9dition speciale 37e journee de #Ligue1 a 15h30 avec @JCDrouet @JulienMomont @regisdupont &amp; @SimoneRov\u2026
@JM_Aulas @girondins @PSG_inside @OM_Officiel :pourquoi dementir?Vous n'avez pas d'ethique sportive donc n'en exigez pas des autres
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @JeremyKlocek59: Felicitation a Gregory Pujol et David Ducourtioux pour leurs monte en Ligue 1 avec le @gfc_ajaccio ses merites
RT @LFPfr: #Ligue1 - J37 : 50 buts en 36 matchs pour @SMCaen_officiel, c'est la 2eme meilleure performance de l'histoire du club en L1.
RT @OM_Officiel: .@10APG : Lille manque a son tableau de chasse #Ligue1 #Statistiques\n \u2192  \n#TeamOM 
RT @OMnet: Gignac : Lille manque a son tableau de chasse #Ligue1 #Statistiques\n \u2192  \n #\u00c9quipePro 
RT @abdelinho92: \"Je veux gagner la ligue des champions\" (26 octobre 2014 Canal football club) 
RT @ACAofficiel: Felicitations au GFCA pour son accession en Ligue 1 et sa saison accomplie #Ajaccio #Ball\u00f2Corsu @gfc_ajaccio
10 raisons de suivre la 37e journee de L1  #teamPSG #psg #paris
#Ligue1\n\nBastia - Caen \n\nMatch nul \u20223.30\n\n#ParionsSport
RT @LionelMessiasFC: Ibrahimovic se libr\u00f3 de un asesino en serie de casualidad  #Futbol #Ligue1
RT @leJDD: La Juve, tombeuse du Real Madrid, rejoint le Barca en finale de la Ligue des champions  #JDD 
RT @LMDPSG: Etienne Didot : \"Verratti et Pastore ? Ce sont les deux meilleurs joueurs du Championnat. Verratti est plus complet\" #PSG #TFC
RT @YKharouby: Je crois qu'il serait temps de le dire \n#Gourcuffrevient @girondins @girondins33 @girondins_news
RT @equipedefrance: Bon anniversaire a Patrice Evra qui fete ses 34 ans aujourd'hui ! Avec une 5e finale de Ligue des champions a cle ! htt\u2026
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @OM_Officiel: Les Olympiens ont la cote dans le Nord #Ligue1\n \u2192  \n#TeamOM 
RT @lequipe: Yoann Gourcuff s'entraine avec un educateur des Girondins  
RT @Angers_Villactu: Football : Angers a un point de la Ligue 1    #Angers #angerssco #sport #football
RT @girondins: Gagner pour esperer l'Europe, voila l'objectif. On compte sur les @girondins et sur Carrass. Allez Bordeaux ! #OLFCGB 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
#Ligue1\n\nBastia - Caen \n\nMatch nul \u20223.30\n\n
#rencontre avant le match du  #PSG versus #Montpellier inscris-toi sur  -&gt; rencontres garanties apre le match #foot
RT @Outsiderbet: #Ligue1\n\nBastia - Caen \n\nMatch nul \u20223.30\n\n
RT @LMDPSG: Etienne Didot : \"Verratti et Pastore ? Ce sont les deux meilleurs joueurs du Championnat. Verratti est plus complet\" #PSG #TFC
#Lille Sofiane Boufal est-il le nouveau Eden Hazard ?: Impressionnant depuis son arrivee en Ligue 1 ...  #football
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
Forain77Yoann: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos inte\u2026 
ENZOH4: RT PSG_inside: Trois bonnes raisons de regarder...  #PSG
JustLoveZI: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interac\u2026 
ENZOH4: RT PSG_inside: Jour J !  #PSG
Oceanchild69: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos inter\u2026 
camillebrchs: RT PSG_inside: Trois bonnes raisons de regarder...  #PSG
HarriskyHD: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interac\u2026 
CanalSupporters: #PSG &gt;&gt; Une nacelle pour deux VIP lors de la finale de la Coupe de France 
CastelAntoine: RT Histoire_du_PSG: C'est il y a 2 ans qu'est ne le fameux \"CHAMPION MON FR\u00c8RE\" de Lucas \ud83d\ude01 #PSG 
Frederichoukair: #PascalDupraz fanfaronne quand meme beaucoup beaucoup moins depuis 2013 face au #PSG la hein ! \ud83d\ude4c\ud83c\udffc\u270c\ud83c\udffc\ufe0f\u270b\ud83c\udffc cc etgfc
Malika_FCBPSG: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos inte\u2026 
Malika_FCBPSG: ParisNoLimit \nMerci ParisNoLimit! Toujours la pour le #PSG!
adrien_alleaume: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos in\u2026 
planete_psg: Pastore - \"J'essaye de progresser jour apre jour\"  #PSG 
planete_psg: Armand heureux pour Paris  #PSG 
didicwolf: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interact\u2026 
fred_Mge: RT CanalSupporters: #PSG &gt;&gt; Une nacelle pour deux VIP lors de la finale de la Coupe de France 
Futbolista943: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos inte\u2026 
romanewseu: A #Cagliari sono certi: #Nainggolan al #PSG per 40 milioni #ASRoma #romanewseu #calciomercato 
Lulkeee: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactio\u2026 
imSilverine: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos intera\u2026 
MarineMenzano: Pour les trophees UNFP pour le meilleur joueur de ligue 1 vous dites qui vous ? #PSG #TeamPSG \ud83d\udd34\ud83d\udd35
VsHerve: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactio\u2026 
Justenath1: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interac\u2026 
stoulio: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactio\u2026 
PsgActualites: 10 raisons de suivre la 37e journee de L1  #teamPSG #psg #paris
MarcinLivio: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos intera\u2026 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
ImmeyHT: RT ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactio\u2026 
@girondins oui allez bordelais , mais ca va etre complique a Lyon
RT @Toooto_13: Sadio mane en 3 min avec les saints il a mit la quasi moitie des buts de votre crack Pastore en Ligue 1
La rumeur Gourcuff plus \"l'information\" Labat aujourd'hui c'est ridicule ... un sketch du debut a la fin ... #Girondins
RT @PSG_inside: Javier Pastore joueur du mois d'avril  #PSG
RT @PSG_inside: a Montpellier pour le titre !  #PSG
RT @Outsiderbet: #Ligue1\n\nBastia - Caen \n\nMatch nul \u20223.30\n\n
#ligue1 Foot \u2013 L1 \u2013 TFC : Didot 'Une saison tre compliquee\u2026'\n\n\u00a0VIDEO L1 \u2013 A deux journees de la fin de la saison,\u2026 
#ligue1 Foot \u2013 L1 \u2013 RCL : Kombouare 'Une question d?honnetete'\n\n\u00a0VIDEO L1 \u2013 L'entraineur du RC Lens, Antoine Kombo\u2026 
#ligue1 Foot \u2013 L1 \u2013 MHSC : Presque au complet face au PSG\n\n\u00a0VIDEO L1 \u2013 Montpellier recoit le Paris Saint-Germain, \u2026 
#ligue1 Gourcuff : Aulas croit 'rever'\n\nLe president de l'OL Jean-Michel Aulas n'a pas manque de reagir sur Twitte\u2026 
RT @LFPfr: #Ligue1 - J37 : @s_c_bastia n'a perdu qu'un seul de ses 9 derniers matchs joues a domicile en L1.
RT @PSG_inside: Trois bonnes raisons de regarder...  #PSG
RT @clemgrenier: On veut finir sur une belle note devant notre public =&gt;  #TeamOL #TeamCG7 
Carvajal dans le viseur ?  #psg #foot #L1
@Zlantoine @gfc_ajaccio On parie quoi qu'ils seront pas en #Ligue1 la saison prochaine ? ^^
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
Hermant donne son sentiment sur le mercato  #PSG #Livel1
RT @JasmineGaazMine: En route pour un 3eme titre consecutif \u26bd\ufe0f\ud83d\udd34\ud83d\udd35 #MultifootDay #ParisiensEtChampions #Ligue1 #MHSCPSG #TeamPSG
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @ValentinLRDF: 400 000 \u20ac : la prime individuelle pour les joueurs du #PSG en cas de titre de Champion de France\n#Ligue1 
RT @LequipeTypeE21: Hey les copains! \u00c9dition speciale 37e journee de #Ligue1 a 15h30 avec @JCDrouet @JulienMomont @regisdupont &amp; @SimoneRov\u2026
RT @LMDPSG: Etienne Didot : \"Verratti et Pastore ? Ce sont les deux meilleurs joueurs du Championnat. Verratti est plus complet\" #PSG #TFC
Je viens de voter pour le but de Carlos #Eduardo aux #TropheesUNFP via @UNFP 
Info FM, Metz\u00a0: la revelation Sassi enflamme les clubs de Ligue 1 
RT @ohmyadams: bon, mm si ca fait que depuis hier, j'avoue que ca manque un peu ahah #psg 
RT @MarineMenzano: Pour les trophees UNFP pour le meilleur joueur de ligue 1 vous dites qui vous ? #PSG #TeamPSG \ud83d\udd34\ud83d\udd35
RT @ohmyadams: \" - Alors Lucas, j'suis un beau gosse ?\n- J'suis un beau gosse! \" au top, merci ca fait plaisir @LucasnaRede_ :) #psg 
#PSG PSG : 'Une saison historique': Le PSG, qui peut etre sacre champion de France samedi soir a Mon...  #football
#PSG Transfert : Blaise Matuidi, fidele au PSG: Sous contrat jusqu'en juin 2018, Blaise Matuidi ne p...  #football
#PSG Nicolas Sarkozy pret a cotiser pour que Paul Pogba signe au PSG: L'ancien president de la Repub...  #football
#PSG Les 5 dernieres infos a retenir: Matuidi ne partira pas cet eteSous contrat avec le PSG jusqu'e...  #football
Hermant donne son sentiment sur le mercato  #PSG 
#PSG Le PSG sera-t-il un petit champion ?: Comme chaque week-end, FF vous pose sa question qui peut ...  #football
@JM_Aulas Voila : Gourcuff - Le dementi de Pierrot Labat,  -  via @girondins
-Dortmund UCL| LXL  LIGUE 1 -Lyon Home| SML
RT @OMnet: Gignac : Lille manque a son tableau de chasse #Ligue1 #Statistiques\n \u2192  \n #\u00c9quipePro 
A 21h00 #LOSCOM pour la 37eme journee de #Ligue1. \nA suivre en multiplex sur @canalplus ou integralite en differe sur @canalplusdecale.
#FCGB #Girondins Gourcuff - Le dementi de Pierrot Labat: Pierrot Labat dement formellement l'information parue... 
RT @ohmyadams: yohaaaaaan! @YCabayeofficiel ^^ #psg 
RT @OMnet: Gignac : Lille manque a son tableau de chasse #Ligue1 #Statistiques\n \u2192  \n #\u00c9quipePro 
RT @ohmyadams: ce mec est genial, @Javi_Pastore au top! merci #psg 
RT @ActuFoot_: OFFICIEL ! Le GFC Ajaccio est promu en Ligue 1 ! 
RT @Betclic: [#FreeBet] Quel sera le score final de #MHSCPSG ? RT+votre reponse accompagnee du hashtag #Betclic ! #Ligue1 
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
RT @LFPfr: #Ligue1 - J37 : Sur ses 3 dernieres titularisations en L1, David Ngog est implique sur 4 buts (3 buts &amp; 1 passe decisive).
RT @Thibaud_FCGB: Moi je dis, ca sent bon cette histoire #GourcuffauxGirondins #Girondins
RT @ParisNoLimit: Vous etes 20000 a suivre l'actu du #PSG avec nous! \ud83d\udd35\ud83d\udd34\ud83d\udd35\n\nMerci a tous pour vos interactions \ud83d\ude09 #ParisNoLimit 
@JM_Aulas Coucou Jean-Michel, voila le dementi :  
#Troyes Troyes: Reprise le 24 juin et stage de 8 jours au Touquet: Fraichement promu en Ligue 1, Tro...  #football
#LIGUE1 #OM - SURV\u00caTEMENT \"ADIDAS\" OLYMPIQUE DE MARSEILLE BLANC\/BLEU TAILLE 186 CENTIM\u00c8...  
RT @LequipeTypeE21: Hey les copains! \u00c9dition speciale 37e journee de #Ligue1 a 15h30 avec @JCDrouet @JulienMomont @regisdupont &amp; @SimoneRov\u2026
#LIGUE1 #OM - BLOUSON \"ADIDAS\" OLYMPIQUE DE MARSEILLE 2014\/2015 BLEU TAILLE 2XL:  40,00...  
#LIGUE1 #OM - SWAT \"ADIDAS\" OLYMPIQUE DE MARSEILLE BLEU TAILLE 186 CENTIM\u00c8TRES:  15,00 ...  
#LIGUE1 #OM - SWAT \u00c0 CAPUCHE \"ADIDAS\" OLYMPIQUE DE MARSEILLE NOIR TAILLE L:  15,00 EUR ...  
RT @JasmineGaazMine: En route pour un 3eme titre consecutif \u26bd\ufe0f\ud83d\udd34\ud83d\udd35 #MultifootDay #ParisiensEtChampions #Ligue1 #MHSCPSG #TeamPSG
Zobacz kursy na dzisiejsze mecze pi\u0142karskie. Ekstraklasa, Bundesliga, Premier League, Serie A, Ligue 1 - por\u00f3wnaj... 
RT @girondins: Gagner pour esperer l'Europe, voila l'objectif. On compte sur les @girondins et sur Carrass. Allez Bordeaux ! #OLFCGB 
RT @ValentinLRDF: 400 000 \u20ac : la prime individuelle pour les joueurs du #PSG en cas de titre de Champion de France\n#Ligue1 
RT @graphismi: @MarcoVerratti1 \"Le petit Italien a la conquete de la \ud83c\uddeb\ud83c\uddf7 France\" #graphismi #PSG @PSG_inside 
T'es l'stade du tierquar j'suis la ligue 1
ParisFansfr : #Lacazette dans un club qui joue la #C1 en cas de depart - \u2026  
 - Course au podium : Si l'OM le merite et en a besoin, l'ASM semble intouchable 
RT @ParisNoLimit: 90' GOAAAAAAAAL ZLATAN IBRAHIMOVIIIIIIIIIIIIC #PSGEAG 6-0 #PSG 
RT @FrenchFtWeekly: VOTE NOW: Who is your Ligue 1 GOTY? #Lopes #Enyeama #Subasic #Lecomte #Costil #Jourdren  
RT @sebfraysse: .@cahiersdufoot cher #CDF, je pense que tous vos followers veulent la montee du @gfc_ajaccio pour pouvoir retrouver #Ducour\u2026
RT @ParisFansfr: #Lacazette dans un club qui joue la #C1 en cas de depart -  #PSG #Mercato 
PSG : Zlatan Ibrahimovic est blesse  #teamPSG #psg #paris
